rowID,isEnable,actionType,key,duration,holdDuration,addDuration,targetPressCount,timingSpeed,successRangeStart,successRangeEnd
A01_P_TIMING,True,Timing,P,3,0,0,0,1.1,0.4,0.6
A01_Q_HOLD,True,Hold,Q,3,2,0,0,0,0,0
A01_SPACE_RAPID,True,RapidPress,Space,3,0,0,8,0,0,0
A02_P_TIMING,True,Timing,P,3,0,0,0,1.2,0.4,0.58
A02_Q_PRESS_P,True,SinglePress,P,3,0,0,0,0,0,0
A02_Q_PRESS_Q,True,SinglePress,Q,3,0,0,0,0,0,0
A02_Q_PRESS_SPACE,True,SinglePress,Space,3,0,0,0,0,0,0
A02_SPACE_RAPID,True,RapidPress,Space,4,0,0,18,0,0,0
A03_P_TIMING_P,True,Timing,P,2,0,0,0,1.1,0.42,0.58
A03_P_TIMING_Q,True,Timing,Q,2,0,0,0,1.1,0.42,0.58
A03_P_TIMING_SPACE,True,Timing,Space,2,0,0,0,1.1,0.42,0.58
A03_Q_HOLD_Q,True,Hold,Q,3,2,0,0,0,0,0
A03_Q_HOLD_SPACE,True,Hold,Space,4,4,0,0,0,0,0
A03_SPACE_RAPID,True,RapidPress,Space,5,0,0,25,0,0,0
A04_P_HOLD_P,True,Hold,P,3,2,0,0,0,0,0
A04_P_HOLD_Q,True,Hold,Q,4,3,0,0,0,0,0
A04_P_HOLD_SPACE,True,Hold,Space,2,1,0,0,0,0,0
A04_Q_RAPID,True,RapidPress,Q,6,0,0,40,0,0,0
A04_SPACE_TIMING_P,True,Timing,P,3,0,0,0,1.15,0.42,0.58
A04_SPACE_TIMING_Q,True,Timing,Q,3,0,0,0,1.15,0.42,0.58
A04_SPACE_TIMING_SPACE,True,Timing,Space,3,0,0,0,1.15,0.42,0.58
A05_P_RAPID_P,True,RapidPress,P,4,0,0,17,0,0,0
A05_P_RAPID_SPACE,True,RapidPress,Space,3,0,0,11,0,0,0
A05_Q_PRESS_P,True,SinglePress,P,2,0,0,0,0,0,0
A05_Q_PRESS_Q,True,SinglePress,Q,2,0,0,0,0,0,0
A05_Q_PRESS_SPACE,True,SinglePress,Space,2,0,0,0,0,0,0
A05_SPACE_TIMING_P,True,Timing,P,3,0,0,0,1.25,0.4,0.55
A05_SPACE_TIMING_Q,True,Timing,Q,3,0,0,0,1.25,0.4,0.55
A05_SPACE_TIMING_SPACE,True,Timing,Space,3,0,0,0,1.25,0.4,0.55
S01_PRESS_P,True,SinglePress,P,2,0,0,0,0,0,0
S01_PRESS_Q,True,SinglePress,Q,2,0,0,0,0,0,0
S01_PRESS_SPACE,True,SinglePress,Space,2,0,0,0,0,0,0
S02_SPACE_HOLD,True,Hold,Space,3.67,3,0,0,0,0,0
S03_TIMING_P,True,Timing,P,2.5,0,0,0,1.5,0.45,0.55
S03_TIMING_Q,True,Timing,Q,2.5,0,0,0,1.5,0.45,0.55
S03_TIMING_SPACE,True,Timing,Space,2.5,0,0,0,1.5,0.45,0.55
