rowID,isEnable,eventName,title,description,eventTexture,eventType,week,weight,isConditional,conditionalStat,minTreasury,maxTreasury,minPublicSentiment,maxPublicSentiment,minSecurity,maxSecurity,requiredEventIds,choiceIds,buttonActionIds,actionSuccessResultId,actionFailureResultId,isFatalOnActionFailure
B01,True,FAMINE,흉년,긴 가뭄으로 올해 수확량이 크게 줄었습니다.\n식량 가격이 오르자 백성들의 불만도 커지고 있습니다.,Event/B01.png,NormalChoice,1,1,False,,0,100,0,100,0,100,,B01_Q|B01_SPACE|B01_P,,,,False
B02,True,COLLAPSED_WALL,무너진 성벽,수도 외곽의 오래된 성벽에서 커다란 균열이 발견되었습니다.\n아직 적군의 움직임은 보이지 않습니다.,Event/B02.png,NormalChoice,1,1,False,,0,100,0,100,0,100,,B02_Q|B02_SPACE|B02_P,,,,False
B03,True,FOUNDING_FESTIVAL,왕국 건국 축제,곧 왕국의 건국 기념일입니다.\n백성들은 성대한 축제가 열리기를 기대하고 있습니다.,Event/B03.png,NormalChoice,1,1,False,,0,100,0,100,0,100,,B03_Q|B03_SPACE|B03_P,,,,False
B04,True,SUSPICIOUS_MERCHANT_GUILD,수상한 상단,출처를 알 수 없는 거대 상단이 왕국에서 독점적으로 장사할 권리를 요청했습니다.\n상단은 그 대가로 상당한 금액을 왕실에 약속했습니다.,Event/B04.png,NormalChoice,2,1,False,,0,100,0,100,0,100,,B04_Q|B04_SPACE|B04_P,,,,False
B05,True,CORRUPT_TAX_OFFICIAL,부패한 세금 관리,한 세금 관리가 백성들에게 정해진 양보다 많은 세금을 걷었다는 고발이 접수되었습니다.\n관리가 빼돌린 재산도 상당한 것으로 보입니다.,Event/B05.png,NormalChoice,2,1,False,,0,100,0,100,0,100,,B05_Q|B05_SPACE|B05_P,,,,False
B06,True,ABANDONED_GOLD_MINE,버려진 금광,"오래전 붕괴 사고로 폐쇄된 금광에서 다시 금빛 광석이 발견되었습니다.\n광부들은 큰돈을 벌 수 있다며 채굴 재개를 요청했지만, 갱도의 안전은 확인되지 않았습니다.",Event/B06.png,NormalChoice,3,1,False,,0,100,0,100,0,100,,B06_Q|B06_SPACE|B06_P,,,,False
B07,True,DRAGON_EGG_FOUND,용의 알 발견,왕국 북부의 동굴에서 거대한 알 하나가 발견되었습니다.\n궁정 학자들은 오래전에 자취를 감춘 용의 알일 가능성이 높다고 보고했습니다.,Event/B07.png,NormalChoice,3,1,False,,0,100,0,100,0,100,,B07_Q|B07_SPACE|B07_P,,,,False
B08,True,ROYAL_DEBT_COLLECTION,왕실 채무 상환 독촉,왕실이 빌린 채무의 상환 기한이 다가왔습니다.\n채권단은 오늘 안에 대책을 내놓으라며 왕궁을 압박하고 있습니다.,Event/B08.png,NormalChoice,0,1,True,Treasury,0,30,0,100,0,100,,B08_Q|B08_SPACE|B08_P,,,,False
B09,True,PALACE_SQUARE_PROTEST,광장에 모인 시위대,왕궁 앞 광장에 불만을 품은 백성들이 모였습니다.\n시위대는 왕의 직접 사과와 즉각적인 대책을 요구하고 있습니다.,Event/B09.png,NormalChoice,0,1,True,PublicSentiment,0,100,0,30,0,100,,B09_Q|B09_SPACE|B09_P,,,,False
B10,True,COLLAPSING_BORDER_OUTPOST,무너져 가는 국경 초소,국경을 지키는 오래된 초소가 무너질 위기에 놓였습니다.\n병력과 물자가 부족해 즉시 대응하지 않으면 방어선이 비게 됩니다.,Event/B10.png,NormalChoice,0,1,True,Security,0,100,0,100,0,30,,B10_Q|B10_SPACE|B10_P,,,,False
A01,True,BANDIT_RAID,도적 떼 출현,북쪽 마을 주변에 도적 떼가 나타났습니다.\n마을의 창고가 약탈당하기 전에 대응해야 합니다.,Event/A01.png,ActionChoice,1,1,False,,0,100,0,100,0,100,,A01_Q|A01_SPACE|A01_P,,,,False
A02,True,MARKET_FIRE,시장 대화재,수도의 시장에서 큰불이 발생했습니다.\n불길이 주변 주택가와 왕실 창고까지 번지고 있습니다.,Event/A02.png,ActionChoice,2,1,False,,0,100,0,100,0,100,,A02_Q|A02_SPACE|A02_P,,,,False
A03,True,PLAGUE_OUTBREAK,전염병 발생,남쪽 마을에서 원인을 알 수 없는 전염병이 퍼지고 있습니다.\n수도까지 번지기 전에 대응 방식을 정해야 합니다.,Event/A03.png,ActionChoice,2,1,False,,0,100,0,100,0,100,,A03_Q|A03_SPACE|A03_P,,,,False
A04,True,NEIGHBORING_KINGDOM_ENVOY,이웃 왕국의 사절,이웃 왕국의 사절단이 동맹을 제안하기 위해 수도에 도착했습니다.\n그러나 그들이 요구하는 조건은 왕국에 적지 않은 부담이 될 수 있습니다.,Event/A04.png,ActionChoice,3,1,False,,0,100,0,100,0,100,,A04_Q|A04_SPACE|A04_P,,,,False
A05,True,RIVER_FLOOD_RISK,강의 범람 위기,며칠째 이어진 폭우로 왕국을 가로지르는 강의 수위가 급격히 상승했습니다.\n주변 마을이 물에 잠기기 전에 대응해야 합니다.,Event/A05.png,ActionChoice,3,1,False,,0,100,0,100,0,100,,A05_Q|A05_SPACE|A05_P,,,,False
S01,True,ROYAL_ASSASSIN,왕실 암살자,왕좌 뒤의 커튼이 갑자기 흔들립니다.\n숨어 있던 암살자가 단검을 들고 왕에게 달려듭니다.,Event/S01.png,SuddenChoice,3,1,False,,0,100,0,100,0,100,,,S01_PRESS_Q|S01_PRESS_Q|S01_PRESS_P|S01_PRESS_SPACE|S01_PRESS_Q|S01_PRESS_SPACE|S01_PRESS_P|S01_PRESS_SPACE|S01_PRESS_P|S01_PRESS_Q|S01_PRESS_Q|S01_PRESS_SPACE,S01_ACTION_SUCCESS,S01_ACTION_FAILURE,True
S02,True,ROYAL_WAREHOUSE_COLLAPSE,왕실 창고 붕괴,왕실 창고에서 커다란 굉음이 들려옵니다.\n천장을 받치던 기둥이 무너지며 쌓여 있던 보급품이 쏟아지기 시작합니다.,Event/S02.png,SuddenChoice,2,1,False,,0,100,0,100,0,100,,,S02_SPACE_HOLD|S02_SPACE_HOLD|S02_SPACE_HOLD,S02_ACTION_SUCCESS,S02_ACTION_FAILURE,False
S03,True,FALLING_CROWN,왕관 낙하 사고,왕이 백성들 앞에서 연설하던 중 왕관이 머리에서 미끄러졌습니다.\n왕관이 계단 아래로 굴러 떨어지기 전에 붙잡아야 합니다.,Event/S03.png,SuddenChoice,2,1,False,,0,100,0,100,0,100,,,S03_TIMING_Q|S03_TIMING_SPACE|S03_TIMING_P|S03_TIMING_P,S03_ACTION_SUCCESS,S03_ACTION_FAILURE,False
